إرهاب        إرھ@ب
عنصرية       عُنصُر!ة
قنبلة        قنـبلة
تفجير        تـفـج!ر
جنس          جـنـس
إباحية       إب@ح!ة
مخدرات       مخـدر@ت
حشيش         حـش!ـش
غبي          غـبـي
حقير         حـق!ر
تحميل        تـحمـ!ل
غير قانوني   غ!ـر قانـوني
شتم          شـتـم
سب           سـبّ
دكتاتور      دكـت@تـور
ثورة         ثـور@ة
فساد         فـس@د
خيانة        خـ!انة
قتل          قـت!ـل
مجرم         مجـر!ـم
تفجيرات      تـفـج!رات
انفجار       انـفـج@ر
استغلال      استـغل@ل
داعش         د@عـش
رذيلة        رذ!لة
إعدام        إعد@م
عميل         عـمـ!ل
كافر         كـ@فـر
خطر          خـط!ـر
مظاهرة       مظ@هرة
انتقام       انتـق@م
جهاد         جـه@د
انقلاب       انـقل@ب
مرتد         مرتـ!ـد
محظور        محـظ@ر
إلحاد        إلـح@د
فلسطين   فلس@طين
إسرائيل    اسر!ئيل
نتياهو    نتني!هو
ارهاب اره@ب
الارهاب الاره@ب
الإرهابيين        الإرھ@بيين
الإرهاب        الإرھ@ب
الارهابيين        الارھ@بيين
